,date,time,title,image_link,address,event_url,continuous
0,19-04-2024,8:00PM,The Speakeasy: Age of Scofflaws,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18906102/68ff93e5-1ab6-471a-a66e-2625491d6b9b.jpg',"644 Broadway, San Francisco",http://sf-events.brokeassstuart.com/events/2024/4/13/the-speakeasy-age-of-scofflaws-tickets,Through Jun 23
1,19-04-2024,10:00AM,Week of 420 at The Apothecarium,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/19120240/867eee60-5361-40bd-bb88-a89dabbed4b9.png',2029 Market St,http://sf-events.brokeassstuart.com/events/2024/4/13/week-of-420-at-the-apothecarium-tickets,Through Apr 20
2,19-04-2024,9:00AM,Discovery Sessions 2024,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18393285/2cd14652-457c-4e71-a4f9-9451dc227863.png',900 Marin St.,http://sf-events.brokeassstuart.com/events/2024/4/18/discovery-sessions-2024-tickets,Through Apr 19
3,19-04-2024,9:30AM,Irving Penn,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18164386/526fce1b-fd0b-4b26-9816-e127f7a59dce.jpg',50 Hagiwara Tea Garden Drive,http://sf-events.brokeassstuart.com/events/2024/3/16/irving-penn-tickets,Through Jul 21
4,19-04-2024,9:00PM,Still Corners,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18035702/c230199f-809d-471f-9d07-d329f9d57ffd.jpg',859 O'farrell Street,http://sf-events.brokeassstuart.com/events/2024/4/19/still-corners-tickets,
5,19-04-2024,9:00PM,"Skream & Mala w/ Sgt Pokes, Sam Supa",'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18510453/4fc64bfb-ccb9-47c6-b746-573f45e094f0.png',1290 Sutter Street,http://sf-events.brokeassstuart.com/events/2024/4/19/skream-benga-with-sgt-pokes-sam-supa-tickets,
6,19-04-2024,8:30PM,Aidan Bissett,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17864172/2f9e6c9d-5511-4c1c-bcc8-d88189d803b3.jpg',420 Mason Street,http://sf-events.brokeassstuart.com/events/2024/4/19/aidan-bissett-supernova-tickets,
7,19-04-2024,8:30PM,Gza,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18215351/3ae511ff-7250-4923-bd31-41a46e3ade44.jpg',1743 San Pablo Ave,http://sf-events.brokeassstuart.com/events/2024/4/19/gza-tickets,
8,19-04-2024,9:45PM,Louis Katz,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17836562/0e512a93-71f9-4dba-a0fb-8876d4852d45.jpg',444 Battery St,http://sf-events.brokeassstuart.com/events/2024/4/19/louis-katz-tickets-dr1nnbe,
9,19-04-2024,9:30PM,A Club Called Rhonda: Ash Lauryn,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18568908/a342f1d2-3765-430b-ac49-561f491902ab.jpg',119 Utah Street,http://sf-events.brokeassstuart.com/events/2024/4/19/a-club-called-rhonda-ash-lauryn-tickets,
10,19-04-2024,8:00PM,Bill Frisell w/ Petra Haden,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17643190/7d385720-cf71-4412-8d3a-ab5088e7daef.jpg',2020 Addison St,http://sf-events.brokeassstuart.com/events/2024/4/19/bill-frisell-tickets,
11,19-04-2024,10:00PM,Artbat,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18996314/48c05a93-5261-4da9-89a1-182cf78f5da1.jpg',1015 Folsom St,http://sf-events.brokeassstuart.com/events/2024/4/19/artbat-tickets,
12,19-04-2024,9:45PM,Deon Cole: My New Normal,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17833688/e177d8e8-e5d4-4e2b-a252-837c60d1ae42.jpg',915 Columbus Ave,http://sf-events.brokeassstuart.com/events/2024/4/19/deon-cole-tickets-nlwzmld,
13,19-04-2024,11:00AM,Decoding the Eye: Signs & Symbols,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/14136429/308cf590-7473-4def-9f5c-d1bb6673934a.jpg',645 Beach Street,http://sf-events.brokeassstuart.com/events/2023/5/10/decoding-the-eye-signs-symbols-tickets,Free - Through Apr 30
14,19-04-2024,7:00PM,Deon Cole: My New Normal,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17833675/443e0abc-6d25-4a63-808c-3367814fef56.jpg',915 Columbus Ave,http://sf-events.brokeassstuart.com/events/2024/4/19/deon-cole-tickets,
15,19-04-2024,4:00PM,CANN Happy Hour,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18903046/015ec140-b24a-4871-a922-960cb9fe0842.png',2029 Market St,http://sf-events.brokeassstuart.com/events/weekly/fri/cann-happy-hour-at-the-apothecarium,
16,19-04-2024,8:00PM,Tech N9ne w/ ¡MAYDAY! + Kung Fu Vampire,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/19153651/7146fd4a-a01a-414d-a0a1-a39df852bb1f.jpg',949 El Camino Real,http://sf-events.brokeassstuart.com/events/2024/4/19/tech-n9ne-with-special-guests-mayday-and-kung-fu-tickets,
17,19-04-2024,9:00PM,No Thanks,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18426325/aa95561a-ac9e-43a9-b0e4-3ff51572eaad.png',101 Sixth St.,http://sf-events.brokeassstuart.com/events/2024/4/19/no-thanks-monarch-tickets,
18,19-04-2024,9:00PM,Bicycle Day 2024 w/ Ott. + more,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17745599/b48634a2-d975-4393-82ac-708244dc97ea.png',900 Marin St.,http://sf-events.brokeassstuart.com/events/2024/4/19/bicycle-day-2024-w-ott-more-tickets,
