,title,category,latitude,longitude,address,link,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,time
0,La Note,French restaurant,37.866206,-122.267249,"2377 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/La+Note/data=!4m2!3m1!1s0x80857e82d280ff07:0x4ab1779424f266c2!10m1!1e1,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,8 AM–3 PM,8 AM–3 PM,,
1,Grégoire Restaurant,French restaurant,37.878583,-122.268578,"2109 Cedar St, Berkeley, CA 94709",https://www.google.com/maps/place/Gr%C3%A9goire+Restaurant/data=!4m2!3m1!1s0x80857ea11b66ddb5:0xc40f489d63d439a2!10m1!1e1,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,,
2,À Côté,Restaurant,37.842073,-122.251264,"5478 College Ave, Oakland, CA 94618",https://www.google.com/maps/place/%C3%80+C%C3%B4t%C3%A9/data=!4m2!3m1!1s0x80857de83265b91d:0x1e5bce1dfb959cf7!10m1!1e1,Closed,5–9 PM,5–9 PM,5–9 PM,5–10 PM,5–10 PM,Closed,,
3,Julia's Restaurant,French restaurant,37.867621,-122.262837,"2315 Durant Ave 2nd floor, Berkeley, CA 94704",https://www.google.com/maps/place/Julia's+Restaurant/data=!4m2!3m1!1s0x80857c287eeb9a6d:0xbdd60abd330d9a5a!10m1!1e1,Closed,12–2 PM,12–2 PM,12–2 PM,12–2 PM,12–2 PM,Closed,,
4,Le Bateau Ivre Restaurant,Restaurant,37.862503,-122.258559,"2629 Telegraph Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Le+Bateau+Ivre+Restaurant/data=!4m2!3m1!1s0x80857c2c65a43429:0x53e1b3d2543ddeb1!10m1!1e1,,,,,,,,,
5,The Butcher’s Son Vegan Delicatessen & Bakery,Vegan restaurant,37.871575,-122.271629,"1954 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/The+Butcher%E2%80%99s+Son+Vegan+Delicatessen+%26+Bakery/data=!4m2!3m1!1s0x80857e992731c87b:0xe91171496c4ce681!10m1!1e1,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,10 AM–8 PM,10 AM–4 PM,,
6,Tane Vegan Izakaya,Vegan restaurant,37.872754,-122.2688,"1956 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Tane+Vegan+Izakaya/data=!4m2!3m1!1s0x80857f5446af996b:0x3f240d8d6fd29600!10m1!1e1,,,,,,,,,
7,Humbowl,Health food restaurant,37.856681,-122.252904,"2975 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Humbowl/data=!4m2!3m1!1s0x80857d65752e2f71:0xcee70fa15fd383c8!10m1!1e1,,,,,,,,,
8,FAVA,Lunch restaurant,37.880211,-122.268634,"2114 Vine St, Berkeley, CA 94709",https://www.google.com/maps/place/FAVA/data=!4m2!3m1!1s0x80857f7908f95ae7:0x88a0aa01ee62bef3!10m1!1e1,,,,,,,,,
9,Long Life Vegi House,Vegetarian restaurant,37.87128,-122.276776,"1725 University Ave, Berkeley, CA 94703",https://www.google.com/maps/place/Long+Life+Vegi+House/data=!4m2!3m1!1s0x80857e9e4282c943:0xff84ed20121b507a!10m1!1e1,,,,,,,,,
