,title,date,time,address,link,latitude,longitude
0, NightZ @ Z,['25-04-2024'],6:00PM,"Z Space, 450, Florida Street, Mission District, San Francisco, California, 90103, United States",http://sf-events.brokeassstuart.com/events/2024/4/25/nightz-z-tickets,37.7634547,-122.4114369
1,"""ordinary. extraordinary."" Artist Talk April 20 At The Compound Gallery",['20-04-2024'],4:00PM,1339 61st St.,http://sf-events.brokeassstuart.com/events/2024/4/20/ordinary-extraordinary-artist-talk-april-20-at-the-compound-gallery-tickets,,
2,2024 Bay Area Brew Fest,['20-04-2024'],12:00PM,"Inn at the Presidio, 42, Moraga Avenue, San Francisco, California, 94129, United States",http://sf-events.brokeassstuart.com/events/2024/4/20/2024-bay-area-brew-fest-tickets,37.79706575,-122.45784560927899
3,2024 Bay Area Harmony Sweepstakes A Cappella Festival,['27-04-2024'],8:00PM,"Palace of Fine Arts, 3301, Lyon Street, San Francisco, California, 94123, United States",http://sf-events.brokeassstuart.com/events/2024/4/27/2024-bay-area-harmony-sweepstakes-a-cappella-festival-tickets,37.80291855,-122.44840286435331
4,2024 Founder’s Concert,['18-05-2024'],3:00PM,"College Avenue, St. Mary's Park, San Francisco, California, 94134, United States",http://sf-events.brokeassstuart.com/events/2024/5/18/2024-founder-s-concert-tickets,37.7335803,-122.4237526
5,2024 King's Day,['27-04-2024'],12:00PM,,http://sf-events.brokeassstuart.com/events/2024/4/27/2024-kings-day-tickets,,
6,3rd Annual Celebration Of Prince With Graffiti Bridge And Sign “O” The Times,['21-04-2024'],7:00PM,,http://sf-events.brokeassstuart.com/events/2024/4/21/3rd-annual-celebration-of-prince-with-graffiti-bridge-and-sign-o-the-times-tickets,,
7,420 Brunch w/Outlaw & Allard,['20-04-2024'],11:00AM,"803 Wright Avenue, Suite 101",http://sf-events.brokeassstuart.com/events/2024/4/20/420-brunch-w-outlaw-allard-tickets,,
8,420 Experience with Mistah Fab and Cuzzin Dre,['20-04-2024'],12:00PM,"General Douglas MacArthur Tunnel, San Francisco, California, 94129, United States",http://sf-events.brokeassstuart.com/events/2024/4/20/420-experience-tickets,37.7925885,-122.4696569
9,67th San Francisco International Film Festival,"['24-04-2024', '25-04-2024', '26-04-2024', '27-04-2024', '28-04-2024']",7:00PM,,http://sf-events.brokeassstuart.com/events/2024/4/24/2024-sffilm-festival-tickets,,
10,9th Ave: George Albon with Avery Burns and Dennis Phillips,['19-04-2024'],7:00PM,"Green Apple Books on the Park, 1231, 9th Avenue, Inner Sunset, San Francisco, California, 94122, United States",http://sf-events.brokeassstuart.com/events/2024/4/19/9th-ave-george-albon-with-avery-burns-and-dennis-phillips-tickets,37.7653607,-122.466592
11,"9th Ave: Giovanna Lomanto with Paolo Bicchieri, Kevin Dublin, & Christine No",['23-04-2024'],7:00PM,"Green Apple Books on the Park, 1231, 9th Avenue, Inner Sunset, San Francisco, California, 94122, United States",http://sf-events.brokeassstuart.com/events/2024/4/23/9th-ave-giovanna-lomanto-with-paolo-bicchieri-kevin-dublin-christine-no-tickets,37.7653607,-122.466592
12,9th Ave: José Vadi with Ted Barrow,['25-04-2024'],7:00PM,"Green Apple Books on the Park, 1231, 9th Avenue, Inner Sunset, San Francisco, California, 94122, United States",http://sf-events.brokeassstuart.com/events/2024/4/25/9th-ave-jose-vadi-with-ted-barrow-tickets,37.7653607,-122.466592
13,A Beacon School,['24-04-2024'],8:00PM,"Bottom of the Hill, 1233, 17th Street, Potrero Hill, San Francisco, California, 94107, United States",http://sf-events.brokeassstuart.com/events/2024/4/24/a-beacon-school-tickets,37.7649626,-122.39641152655962
14,A Club Called Rhonda: Ash Lauryn,['19-04-2024'],9:30PM,"The Great Northern, 119, Utah Street, San Francisco, California, 94103, United States",http://sf-events.brokeassstuart.com/events/2024/4/19/a-club-called-rhonda-ash-lauryn-tickets,37.7676612,-122.4065246
15,A FAMILY AFFAIR AFTER DARK- A Queer 90s-00s Throwbacks Only Party,"['03-05-2024', '07-06-2024']",9:00PM,"3158, Mission Street, Bernal Heights, San Francisco, California, 90103, United States",http://sf-events.brokeassstuart.com/events/2024/5/3/a-family-affair-after-dark-a-queer-90s-00s-throwbacks-only-party-every-1st-friday-5-tickets,37.74679525,-122.41941883192119
16,A Sensory Friendly Family Concert for Neurodiversity,['20-04-2024'],11:00AM,"Noe Valley Ministry, 1021, Sanchez Street, Noe Valley, San Francisco, California, 94114, United States",http://sf-events.brokeassstuart.com/events/2024/4/20/a-sensory-friendly-family-concert-for-neurodiversity-tickets,37.752823449999994,-122.42944938488597
17,A Strange Loop,"['19-04-2024', '20-04-2024', '21-04-2024', '22-04-2024', '23-04-2024', '24-04-2024', '25-04-2024', '26-04-2024', '27-04-2024', '28-04-2024', '29-04-2024', '30-04-2024', '01-05-2024', '02-05-2024', '03-05-2024', '04-05-2024', '05-05-2024', '06-05-2024', '07-05-2024', '08-05-2024', '09-05-2024', '10-05-2024', '11-05-2024', '12-05-2024']",7:30PM,"Toni Rembe Theater, 415, Geary Street, Union Square, San Francisco, California, 94102, United States",http://sf-events.brokeassstuart.com/events/2024/4/18/a-strange-loop-tickets,37.786884650000005,-122.4102666393627
