,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,features,quality,price,popularity,category,latitude,longitude,address,link
0,0,0,0,0,0,0,0,0,0,La Note,"{'brunch': 185, 'pancakes': 96, 'french toast': 74, 'patio': 65, 'home fries': 28, 'gingerbread': 24, 'jam': 15, 'mimosas': 15, 'oatmeal': 11, 'surcharge': 5}",4.4,2,1702,French restaurant,37.866206,-122.267249,"2377 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/La+Note/data=!4m2!3m1!1s0x80857e82d280ff07:0x4ab1779424f266c2!10m1!1e1
1,1,1,1,1,1,1,1,1,1,Grégoire Restaurant,"{'puffs': 115, 'fried chicken sandwich': 42, 'boxes': 15, 'buttermilk': 13, 'poutine': 11, 'coleslaw': 9, 'crispy': 9, 'lamb sandwich': 7, 'steak sandwich': 6, 'picnic tables': 5}",4.5,2,917,French restaurant,37.878583,-122.268578,"2109 Cedar St, Berkeley, CA 94709",https://www.google.com/maps/place/Gr%C3%A9goire+Restaurant/data=!4m2!3m1!1s0x80857ea11b66ddb5:0xc40f489d63d439a2!10m1!1e1
2,2,2,2,2,2,2,2,2,2,À Côté,"{'mussels': 28, 'wine list': 19, 'cocktails': 14, 'patio': 9, 'small plates': 8, 'flatbread': 8, 'tapas': 8, 'french': 8, 'romantic': 5, 'lighting': 5}",4.4,3,413,Restaurant,37.842073,-122.251264,"5478 College Ave, Oakland, CA 94618",https://www.google.com/maps/place/%C3%80+C%C3%B4t%C3%A9/data=!4m2!3m1!1s0x80857de83265b91d:0x1e5bce1dfb959cf7!10m1!1e1
3,3,3,3,3,3,3,3,3,3,Julia's Restaurant,"{'architecture': 5, 'hotel': 4, 'wine': 4, 'steak': 3, 'restaurant week': 3, 'duck': 3, 'creme brulee': 3}",4.4,0,102,French restaurant,37.867621,-122.262837,"2315 Durant Ave 2nd floor, Berkeley, CA 94704",https://www.google.com/maps/place/Julia's+Restaurant/data=!4m2!3m1!1s0x80857c287eeb9a6d:0xbdd60abd330d9a5a!10m1!1e1
4,4,4,4,4,4,4,4,4,4,Le Bateau Ivre Restaurant,"{'atmosphere': 21, 'coffee': 16, 'brunch': 13, 'dinner': 10, 'salmon': 7, 'french onion soup': 6, 'patio': 5, 'chocolate mousse': 5, 'mushroom': 5, 'pasta': 5}",4.3,2,241,Restaurant,37.862503,-122.258559,"2629 Telegraph Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Le+Bateau+Ivre+Restaurant/data=!4m2!3m1!1s0x80857c2c65a43429:0x53e1b3d2543ddeb1!10m1!1e1
5,5,5,5,5,5,5,5,5,5,The Butcher’s Son Vegan Delicatessen & Bakery,"{'cannoli': 27, 'grinder': 22, 'reuben': 22, 'potato salad': 19, 'BLT': 15, 'pulled pork': 14, 'tuna sandwich': 8, 'roast beef': 8, 'blue cheese': 7, 'bacon sandwich': 5}",4.6,2,1817,Vegan restaurant,37.871575,-122.271629,"1954 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/The+Butcher%E2%80%99s+Son+Vegan+Delicatessen+%26+Bakery/data=!4m2!3m1!1s0x80857e992731c87b:0xe91171496c4ce681!10m1!1e1
6,6,6,6,6,6,6,6,6,6,Tane Vegan Izakaya,"{'sushi': 57, 'rolls': 16, 'ramen': 15, 'tempura': 6, 'name': 6, 'brussel sprouts': 5, 'sunset': 5, 'miso soup': 5, 'eggplant': 5, 'presentation': 5}",4.6,0,188,Vegan restaurant,37.872754,-122.2688,"1956 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Tane+Vegan+Izakaya/data=!4m2!3m1!1s0x80857f5446af996b:0x3f240d8d6fd29600!10m1!1e1
7,7,7,7,7,7,7,7,7,7,Humbowl,"{'vegan': 13, 'price': 11, 'thai curry': 8, 'shrimp': 8, 'ingredients': 7, 'dinner': 5, 'portion sizes': 4, 'togarashi': 4, 'hot sauce': 4, 'legumes': 3}",4.8,2,101,Health food restaurant,37.856681,-122.252904,"2975 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Humbowl/data=!4m2!3m1!1s0x80857d65752e2f71:0xcee70fa15fd383c8!10m1!1e1
8,8,8,8,8,8,8,8,8,8,FAVA,"{'falafel': 27, 'healthy': 9, 'flatbread': 8, 'lentil soup': 7, 'chocolate chip cookie': 6, 'hummus': 6, 'lamb': 5, 'salmon': 5, 'tahini': 5, 'mango lassi': 5}",4.9,0,123,Lunch restaurant,37.880211,-122.268634,"2114 Vine St, Berkeley, CA 94709",https://www.google.com/maps/place/FAVA/data=!4m2!3m1!1s0x80857f7908f95ae7:0x88a0aa01ee62bef3!10m1!1e1
9,9,9,9,9,9,9,9,9,9,Long Life Vegi House,"{'vegan': 33, 'seafood': 13, 'broccoli': 9, 'hot and sour soup': 9, 'dinner': 9, 'eggplant': 7, 'fried rice': 6, 'spring rolls': 6, 'chow mein': 5, 'potstickers': 5}",4.7,1,352,Vegetarian restaurant,37.87128,-122.276776,"1725 University Ave, Berkeley, CA 94703",https://www.google.com/maps/place/Long+Life+Vegi+House/data=!4m2!3m1!1s0x80857e9e4282c943:0xff84ed20121b507a!10m1!1e1
10,10,10,10,10,10,10,10,10,10,Razan's Organic Kitchen traditional and classic shawarma.,"{'wrap': 33, 'falafel': 15, 'plate': 15, 'mediterranean food': 10, 'ingredients': 9, 'hummus': 7, 'sauce': 6, 'baklava': 5, 'kabob': 5, 'dinner': 5}",4.4,2,258,Organic restaurant,37.868736,-122.26685,"2119 Kittredge St, Berkeley, CA 94704",https://www.google.com/maps/place/Razan's+Organic+Kitchen+traditional+and+classic+shawarma./data=!4m2!3m1!1s0x80857e9d0b171e69:0xcd23466e715efbdf!10m1!1e1
11,11,11,11,11,11,11,11,11,11,Cha-Ya,"{'cash': 27, 'japanese food': 17, 'vegan sushi': 13, 'tofu': 9, 'healthy': 8, 'ingredients': 7, 'presentation': 6, 'eggplant': 6, 'vegetarian sushi': 5, 'area': 5}",4.5,2,394,Vegetarian restaurant,37.87681,-122.269165,"1686 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Cha-Ya/data=!4m2!3m1!1s0x80857ea1ba1e17b1:0xdc610e9b5e2a357a!10m1!1e1
12,12,12,12,12,12,12,12,12,12,Shangrila Buddha Organic Vegan Restaurant,"{'pie': 12, 'healthy': 10, 'plate': 8, 'beans': 6, 'feel': 6, 'mango': 4, 'coconut': 4, 'size': 3, 'concept': 3, 'salty': 3}",4.8,0,134,Vegan restaurant,37.892154,-122.299302,"755 San Pablo Ave, Albany, CA 94706",https://www.google.com/maps/place/Shangrila+Buddha+Organic+Vegan+Restaurant/data=!4m2!3m1!1s0x808579a13d92e57b:0x80636c4c581b70d8!10m1!1e1
13,13,13,13,13,13,13,13,13,13,Gather,"{'vegan': 45, 'brunch': 37, 'patio': 22, 'french toast': 11, 'cashew': 8, 'charcuterie': 8, 'falafel burger': 7, 'campus': 7, 'soft serve': 6, 'kale': 6}",4.4,2,1078,Californian restaurant,37.869504,-122.266118,"Between Allston, 2200 Oxford St, Kittredge St, Berkeley, CA 94704",https://www.google.com/maps/place/Gather/data=!4m2!3m1!1s0x80857e9d83224aa9:0xc8fa3cab72e37552!10m1!1e1
14,14,14,14,14,14,14,14,14,14,sweetgreen,"{'bowl': 36, 'app': 22, 'lunch': 19, 'dressing': 17, 'greens': 12, 'kale': 7, 'website': 7, 'download': 6, 'combination': 5, 'grains': 5}",4.3,2,696,Health food restaurant,37.874001,-122.26886,"1890 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/sweetgreen/data=!4m2!3m1!1s0x80857e9f0dda9e7b:0xe22439a08913b782!10m1!1e1
15,15,15,15,15,15,15,15,15,15,Shangri-La Vegan On Linden,"{'healthy': 36, 'plate': 25, 'pie': 15, 'collard greens': 10, 'macrobiotic diet': 7, 'set menu': 6, 'grain': 5, 'healing': 5, 'squash': 5, 'cell phone': 5}",4.7,1,454,Vegan restaurant,37.831323,-122.276801,"4001 Linden St, Oakland, CA 94608",https://www.google.com/maps/place/Shangri-La+Vegan+On+Linden/data=!4m2!3m1!1s0x80857e0df57c40b3:0x724ee9a360dd6cb6!10m1!1e1
16,16,16,16,16,16,16,16,16,16,Café Tibet,"{'momos': 39, 'healthy': 9, 'eggplant': 7, 'dumplings': 6, 'vegan': 6, 'curry': 6, 'noodle soup': 6, 'atmosphere': 5, 'dessert': 5, 'rice': 5}",4.6,0,184,Tibetan restaurant,37.87178,-122.270151,"2020 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Caf%C3%A9+Tibet/data=!4m2!3m1!1s0x80857e9ec6fec16f:0xba0b8153d7cfe92f!10m1!1e1
17,17,17,17,17,17,17,17,17,17,Califa's Greens,"{'juices': 9, 'sandwich': 9, 'breakfast': 7, 'bowl': 6, 'healthy': 6, 'salmon': 3, 'kale salad': 3, 'tofu': 3, 'beet salad': 3, 'grilled': 3}",4.9,2,103,Latin American restaurant,37.869013,-122.291698,"1106 University Ave, Berkeley, CA 94702",https://www.google.com/maps/place/Califa's+Greens/data=!4m2!3m1!1s0x80857f68c82a7683:0x34d9cdc83c55d5e6!10m1!1e1
18,18,18,18,18,18,18,18,18,18,Sliver Pizzeria,"{'green sauce': 51, 'corn': 16, 'campus': 13, 'veggie pizza': 11, 'cheese board': 10, 'sports': 8, 'students': 8, 'sourdough': 8, 'cilantro sauce': 6, 'happy hour': 6}",4.5,1,1148,Pizza restaurant,37.86565,-122.258717,"2468 Telegraph Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Sliver+Pizzeria/data=!4m2!3m1!1s0x80857e9dc1bdc281:0x7c8f78cea201ff7c!10m1!1e1
19,19,19,19,19,19,19,19,19,19,ShangriLa vegan on Telegraph,"{'price': 23, 'healthy': 18, 'plate': 13, 'macrobiotic diet': 8, 'filling': 8, 'pie': 7, 'peaceful': 5, 'hungry': 5, 'feel': 5, 'salad': 5}",4.8,1,221,Vegan restaurant,37.835959,-122.262855,"4905 Telegraph Ave, Oakland, CA 94609",https://www.google.com/maps/place/ShangriLa+vegan+on+Telegraph/data=!4m2!3m1!1s0x80857de1a6bcf217:0xd2f1bf4bc43d1d01!10m1!1e1
20,20,20,20,20,20,20,20,20,20,Millennium,"{'cocktails': 54, 'patio': 33, 'tempeh': 27, 'tamal': 20, 'fine dining': 14, 'wine pairing': 11, 'tasting menu': 8, 'anniversary': 8, 'romantic': 7, 'pistachio': 6}",4.5,3,1116,Vegan restaurant,37.847448,-122.251906,"5912 College Ave, Oakland, CA 94618",https://www.google.com/maps/place/Millennium/data=!4m2!3m1!1s0x80858091d90376e9:0x27e8dc57b1f43584!10m1!1e1
21,21,21,21,21,21,21,21,21,21,Lemat Ethiopian Restaurant,"{'veggie': 28, 'music': 12, 'honey wine': 12, 'plate': 10, 'lentils': 9, 'gluten free': 8, 'atmosphere': 7, 'dinner': 6, 'food and service': 5, 'culture': 5}",4.4,2,294,Ethiopian restaurant,37.850294,-122.271268,"3212 Adeline St, Berkeley, CA 94703",https://www.google.com/maps/place/Lemat+Ethiopian+Restaurant/data=!4m2!3m1!1s0x80857e7be32cef87:0xa00c52821feb82b8!10m1!1e1
22,22,22,22,22,22,22,22,22,22,Udupi Palace,"{'dosa': 34, 'south indian food': 23, 'vada': 11, 'sambar': 9, 'chutney': 8, 'price': 8, 'oil': 7, 'vegetarians': 6, 'server': 5, 'to go': 5}",4.2,2,235,Indian restaurant,37.871759,-122.272799,"1903 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Udupi+Palace/data=!4m2!3m1!1s0x80857f27a25cbadb:0x5a5990244889c972!10m1!1e1
23,23,23,23,23,23,23,23,23,23,Passione Emporio on 5th,"{'gelato': 14, 'wine': 7, 'dough': 6, 'vegan': 5, 'cannoli': 3, 'salmon': 3, 'delivery': 3, 'light': 3, 'pesto': 3, 'dining': 3}",4.5,2,130,Italian restaurant,37.862379,-122.297462,"2324 a Fifth St, Berkeley, CA 94710",https://www.google.com/maps/place/Passione+Emporio+on+5th/data=!4m2!3m1!1s0x80857f6328437ef7:0x92caced67ee3f344!10m1!1e1
24,24,24,24,24,24,24,24,24,24,Gypsy's Trattoria Italiana,"{'calzone': 80, 'alfredo': 44, 'pesto': 40, 'college': 34, 'garlic bread': 31, 'cash': 28, 'campus': 12, 'fast food': 10, 'boyfriend': 6, 'cloves': 5}",4.4,1,1723,Italian restaurant,37.868046,-122.258165,"2519 Durant Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Gypsy's+Trattoria+Italiana/data=!4m2!3m1!1s0x80857c2f6ba1fc31:0x66be74dc48f642b3!10m1!1e1
25,25,25,25,25,25,25,25,25,25,Donato & Co.,"{'prices': 29, 'cocktails': 16, 'appetizers': 11, 'dining': 7, 'pork': 5, 'cacio e pepe': 5, 'brunch': 5, 'grilled': 5, 'octopus': 5, 'selection': 5}",4.3,2,371,Italian restaurant,37.857105,-122.253487,"2635 Ashby Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Donato+%26+Co./data=!4m2!3m1!1s0x80857dcdf1aedbed:0x68a73bc212dc7a55!10m1!1e1
26,26,26,26,26,26,26,26,26,26,The Italian Homemade Company,"{'gelato': 29, 'meatballs': 28, 'pesto': 25, 'gnocchi': 15, 'pappardelle': 8, 'panna cotta': 8, 'fettuccine': 7, 'veggie lasagna': 5, 'deli': 5, 'fresh pasta': 5}",4.4,2,579,Italian restaurant,37.85819,-122.252951,"2905 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/The+Italian+Homemade+Company/data=!4m2!3m1!1s0x80857dcd97300961:0x3e4c9a51ea124da!10m1!1e1
27,27,27,27,27,27,27,27,27,27,La Val's Pizza,"{'prices': 28, 'campus': 13, 'wings': 12, 'pool table': 10, 'student': 10, 'sports': 8, 'games': 6, 'bbq chicken': 5, 'calzone': 5, 'pizza by the slice': 5}",4.2,1,541,Pizza restaurant,37.87556,-122.260412,"1834 Euclid Ave, Berkeley, CA 94709",https://www.google.com/maps/place/La+Val's+Pizza/data=!4m2!3m1!1s0x80857c21783399dd:0x3a7e3b41c1d038ce!10m1!1e1
28,28,28,28,28,28,28,28,28,28,Via del Corso,"{'cocktails': 20, 'birthday': 12, 'appetizers': 10, 'butter': 10, 'food and service': 8, 'chicken breast': 6, 'branzino': 6, 'pork chop': 6, 'porterhouse': 6, 'panna cotta': 6}",4.6,2,480,Italian restaurant,37.875042,-122.268931,"1788 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Via+del+Corso/data=!4m2!3m1!1s0x80857e9f7afc9113:0x3462a4374b4b9c62!10m1!1e1
29,29,29,29,29,29,29,29,29,29,Casa Barotti,"{'focaccia': 22, 'italian': 17, 'aperitivo': 7, 'wine': 6, 'happy hour': 6, 'arancini': 6, 'olive': 5, 'toppings': 5, 'suppli': 5, 'crust': 5}",4.7,1,136,Pizza restaurant,37.85103,-122.252682,"3204 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Casa+Barotti/data=!4m2!3m1!1s0x80857d2e08f325f7:0x5dca53c5d96888e3!10m1!1e1
30,30,30,30,30,30,30,30,30,30,Agrodolce Osteria,"{'sicilian': 21, 'ragu': 19, 'appetizer': 19, 'party': 17, 'olive oil': 11, 'pork': 10, 'mushroom ravioli': 6, 'movie': 6, 'lamb shank': 5, 'vongole': 5}",4.3,2,548,Italian restaurant,37.875978,-122.269053,"1730 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Agrodolce+Osteria/data=!4m2!3m1!1s0x80857ea1daea97b1:0xffca9dae038f9474!10m1!1e1
31,31,31,31,31,31,31,31,31,31,Lo Coco's,"{'meatballs': 14, 'wine': 12, 'sicilian': 7, 'tiramisu': 6, 'cannelloni': 6, 'porcini': 6, 'eggplant': 6, 'bolognese': 5, 'flatbread': 4, 'sugo': 4}",4.6,2,273,Italian restaurant,37.881755,-122.269811,"1400 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Lo+Coco's/data=!4m2!3m1!1s0x80857ea68d730255:0x413dd8d935ff6493!10m1!1e1
32,32,32,32,32,32,32,32,32,32,Paisan,"{'patio': 14, 'cocktails': 14, 'olives': 7, 'bolognese': 6, 'price': 6, 'brunch': 5, 'fried': 5, 'happy hour': 4, 'dog': 4, 'prosciutto': 3}",4.3,2,317,Italian restaurant,37.860504,-122.289619,"2514 San Pablo Ave, Berkeley, CA 94702",https://www.google.com/maps/place/Paisan/data=!4m2!3m1!1s0x80857eed69685a81:0xc6f476e9e9fddc5d!10m1!1e1
